default,balance,housing,loan
no,1484,yes,no
no,422,yes,no
no,350,yes,yes
no,919,yes,yes
no,444,yes,no
no,1253,yes,no
no,320,yes,yes
no,1066,yes,no
no,-134,yes,no
no,1146,yes,yes
no,424,yes,no
no,122,yes,no
no,212,yes,no
no,5,yes,no
no,580,no,no
no,3992,yes,yes
no,141,yes,no
no,361,yes,no
no,8195,yes,no
no,3524,yes,no
no,1710,yes,yes
no,177,yes,no
no,199,no,no
no,0,no,no
no,880,yes,yes
no,771,yes,no
no,164,yes,no
no,501,yes,no
no,9051,yes,no
no,103,no,no
no,89,yes,no
no,4111,yes,no
no,170,yes,no
no,1854,yes,no
no,233,yes,no
no,819,yes,no
no,1019,yes,no
no,1147,yes,yes
no,279,yes,no
no,1263,yes,no
no,7449,yes,no
no,198,yes,no
no,710,yes,no
no,858,yes,no
no,1344,yes,yes
no,149,yes,no
no,208,yes,no
no,224,yes,no
no,91,yes,no
yes,-3,yes,no
no,316,yes,yes
no,846,yes,yes
no,352,yes,no
no,-22,yes,no
no,4923,yes,no
yes,6,no,no
no,312,yes,yes
no,61,yes,no
no,53,yes,no
no,-345,yes,no
no,0,yes,no
no,2231,yes,yes
no,337,yes,no
no,413,yes,no
no,1345,yes,no
no,522,yes,no
no,523,yes,yes
no,261,yes,no
no,3776,yes,no
no,437,yes,no
no,490,yes,no
no,6482,yes,no
no,3544,no,no
no,0,no,no
no,459,yes,no
no,3291,yes,no
no,2592,yes,no
no,596,yes,no
no,-56,yes,no
no,1161,yes,no
no,183,yes,no
no,154,yes,no
no,0,yes,no
no,479,no,no
no,-980,yes,no
no,690,yes,no
no,5306,yes,no
no,730,yes,no
no,397,yes,no
no,434,yes,no
no,897,no,no
no,0,yes,no
no,228,yes,no
no,201,yes,no
no,2847,yes,no
no,4039,yes,no
no,132,yes,no
no,9,yes,no
no,31,yes,no
no,0,yes,yes
no,4438,yes,no
no,6421,no,yes
no,171,yes,yes
no,42,yes,yes
no,806,yes,no
no,298,yes,no
no,24,yes,no
no,290,yes,no
no,425,yes,no
no,0,yes,no
no,1602,yes,yes
no,137,yes,no
no,3110,yes,no
no,419,yes,no
no,0,yes,no
no,-88,yes,no
no,274,yes,yes
no,0,yes,no
no,0,yes,no
no,162,yes,no
no,1222,yes,no
no,4482,yes,no
no,1259,no,no
no,499,yes,no
no,1861,yes,no
no,271,yes,no
no,622,yes,no
no,368,yes,no
no,492,yes,no
no,102,yes,no
no,736,yes,no
no,733,yes,no
no,3175,yes,no
no,43,yes,no
no,574,yes,no
no,4622,yes,yes
no,1820,yes,no
no,3750,yes,no
no,465,yes,no
no,860,yes,no
no,1583,yes,no
no,0,yes,no
no,7579,yes,no
no,4635,yes,no
no,827,no,no
no,0,yes,no
no,364,yes,no
no,380,yes,no
no,93,yes,no
no,6138,yes,no
no,1803,yes,no
no,0,yes,no
no,3187,yes,no
no,2,yes,no
no,695,yes,no
no,1042,yes,no
no,4648,yes,no
no,2089,yes,no
no,3059,yes,yes
no,412,yes,yes
no,863,yes,no
no,4434,yes,no
no,5499,yes,no
no,3997,yes,no
no,4904,yes,no
no,440,yes,no
no,-14,yes,no
no,759,no,no
no,603,yes,no
no,-41,yes,yes
no,78,no,no
no,84,yes,no
no,409,yes,no
no,732,yes,yes
no,328,yes,no
no,1698,yes,no
no,9374,yes,no
no,439,no,no
no,4958,yes,no
no,210,yes,no
no,2644,yes,no
no,17983,yes,no
no,614,yes,no
no,2137,yes,no
no,-291,yes,no
no,160,yes,yes
no,11,yes,no
no,2036,yes,yes
no,121,yes,no
no,-656,yes,no
no,1689,no,no
no,439,yes,no
no,1283,yes,no
no,1769,yes,no
no,2,yes,no
no,0,yes,yes
no,47,no,no
no,2054,yes,no
no,8132,yes,no
no,453,yes,yes
no,427,yes,no
no,2416,yes,no
no,877,yes,no
no,398,yes,yes
no,2240,yes,no
no,380,yes,no
no,1163,yes,no
no,4170,yes,no
no,5432,yes,yes
yes,-52,yes,no
no,4011,yes,no
no,715,yes,no
no,2144,yes,no
no,8741,yes,no
no,362,yes,no
no,163,yes,no
no,-740,yes,no
no,434,yes,no
no,1629,yes,no
no,-152,no,no
no,3763,yes,no
no,1,yes,no
no,4,no,no
no,0,yes,yes
no,2007,yes,no
no,327,yes,no
no,-130,yes,no
no,14,yes,yes
no,4399,yes,no
no,780,yes,no
no,371,no,no
no,161,yes,yes
no,221,yes,no
no,706,yes,no
no,4897,yes,no
no,7,yes,no
no,2030,yes,no
no,489,yes,no
no,1059,yes,no
no,-8,yes,no
no,271,yes,no
no,2042,yes,no
no,-53,yes,no
no,268,yes,no
no,5122,yes,no
no,403,yes,no
no,0,yes,no
no,566,yes,no
no,356,yes,yes
no,722,yes,no
no,-607,yes,no
no,328,yes,no
no,126,yes,no
no,206,yes,no
no,136,yes,yes
no,14,yes,yes
no,5260,yes,no
no,458,yes,no
no,0,no,no
no,666,yes,no
no,89,yes,no
no,1660,no,no
no,673,yes,no
no,673,yes,yes
no,-313,yes,no
no,0,yes,no
no,167,yes,no
no,432,yes,no
no,8135,yes,no
no,0,yes,no
no,4286,yes,no
no,2177,no,no
no,0,no,no
no,105,yes,yes
no,1271,yes,no
no,83,no,no
no,709,yes,no
no,-93,yes,yes
no,736,yes,no
yes,-242,yes,yes
no,3259,yes,no
no,11697,yes,no
no,210,yes,yes
no,2688,yes,no
no,0,yes,no
no,5064,yes,no
no,205,yes,no
no,75,yes,no
no,0,yes,no
no,2019,yes,no
no,178,yes,no
no,3559,yes,no
no,290,yes,no
no,138,yes,yes
no,5607,no,no
no,8291,no,no
no,6969,yes,no
no,18,no,no
no,583,yes,no
no,7171,yes,no
no,500,yes,no
no,113,yes,yes
no,0,yes,yes
no,3512,yes,no
no,4798,yes,no
no,85,yes,no
no,660,yes,yes
no,585,yes,yes
no,136,yes,no
no,360,yes,no
no,296,yes,no
no,0,yes,yes
no,10,yes,yes
no,451,yes,no
no,614,yes,no
no,692,yes,no
no,148,no,no
no,5058,yes,no
no,1467,yes,no
no,859,yes,no
no,-508,yes,no
no,410,yes,no
no,134,no,no
no,23867,no,no
no,2038,yes,no
no,-362,yes,no
no,967,yes,no
no,1825,yes,no
yes,-635,yes,no
no,1298,yes,no
no,1797,yes,yes
no,1848,yes,no
no,431,yes,yes
no,4996,yes,no
no,213,yes,no
no,26,yes,no
no,0,no,no
no,1351,yes,no
no,982,yes,no
no,4963,yes,no
no,1438,yes,no
no,1411,yes,no
no,0,yes,no
no,486,yes,no
no,1183,yes,no
no,351,yes,no
no,2366,yes,no
no,2700,yes,no
no,0,yes,no
no,622,yes,no
yes,421,yes,no
no,774,yes,no
no,67,no,no
no,7313,yes,no
no,231,yes,no
no,477,yes,no
no,99,yes,no
no,908,yes,no
no,1581,yes,yes
no,2012,yes,no
no,162,yes,no
no,917,yes,no
no,1422,yes,no
no,1787,yes,no
no,-196,yes,no
no,1387,yes,no
no,-63,yes,no
no,1423,yes,no
no,3127,yes,no
no,5436,yes,no
no,1724,yes,no
no,0,yes,no
no,804,yes,no
no,408,yes,yes
no,705,yes,no
no,1373,yes,no
no,196,yes,no
no,0,yes,no
no,273,yes,no
no,311,yes,no
no,1022,yes,no
no,862,yes,yes
no,173,yes,no
no,204,yes,yes
no,32,yes,no
no,4761,yes,no
no,1081,yes,no
no,4170,yes,yes
no,3111,yes,no
no,89,yes,no
no,317,yes,no
no,5058,no,no
no,2852,yes,no
no,2390,yes,no
no,1131,yes,no
no,1352,yes,no
no,520,yes,no
no,876,no,no
no,855,yes,yes
yes,-202,yes,no
no,-215,yes,no
no,376,yes,no
no,23,yes,no
no,222,yes,no
no,362,yes,no
no,602,yes,no
no,426,yes,no
no,5143,yes,yes
no,80,yes,no
no,0,yes,no
no,7406,yes,no
no,1005,yes,no
no,226,yes,no
no,247,yes,no
no,1040,yes,no
no,68,no,no
no,183,yes,no
no,4822,yes,no
no,0,yes,no
no,1097,yes,no
no,5731,yes,no
no,3067,yes,no
no,275,yes,no
no,526,yes,no
no,1831,yes,no
no,514,yes,no
no,50,yes,no
no,0,yes,no
no,8,yes,no
no,432,yes,no
no,2561,yes,no
no,659,yes,no
no,0,yes,yes
no,897,yes,no
no,-116,yes,no
no,142,yes,no
no,530,yes,no
no,3514,yes,no
no,190,yes,no
no,236,yes,no
no,-871,no,no
no,2429,no,yes
no,514,yes,no
no,565,yes,no
no,2610,yes,yes
no,178,yes,no
no,1117,yes,no
no,4,yes,no
no,124,yes,no
no,2144,yes,no
no,1025,no,no
no,1250,yes,no
no,28,no,no
no,543,yes,no
no,972,yes,no
no,674,yes,no
no,258,yes,no
no,3044,yes,no
no,-197,yes,no
no,1096,no,no
no,739,yes,no
no,274,yes,no
no,1445,yes,no
no,3311,yes,no
no,157,yes,no
no,347,yes,no
no,-345,yes,no
no,8119,no,no
no,120,yes,no
no,5,yes,no
no,2309,yes,no
no,892,yes,no
no,641,yes,no
no,2730,yes,no
no,1663,yes,no
no,1966,yes,no
no,6102,yes,yes
no,1092,yes,no
no,1349,yes,no
no,2015,no,no
no,2146,yes,no
no,2976,yes,no
no,3834,yes,no
no,393,yes,yes
no,-457,yes,yes
no,0,no,yes
no,363,no,no
no,4025,yes,yes
no,714,yes,no
no,438,yes,yes
no,858,yes,no
no,592,yes,no
no,-224,yes,yes
no,151,yes,no
no,289,yes,no
no,821,yes,yes
no,8153,yes,no
no,57,yes,yes
no,558,yes,no
no,1701,yes,no
no,-898,yes,no
no,1073,yes,no
no,5754,yes,no
no,-167,yes,no
no,4146,yes,yes
no,-15,yes,no
no,3954,yes,no
no,8629,yes,no
no,1168,yes,yes
no,498,yes,no
no,0,no,no
no,216,yes,no
no,1746,yes,no
no,1053,yes,no
no,687,yes,no
no,2764,yes,no
no,1207,yes,no
no,0,yes,no
no,528,yes,no
no,3090,yes,no
yes,-530,yes,no
no,666,yes,no
no,0,yes,no
no,470,yes,no
no,597,yes,no
no,1136,yes,no
no,620,yes,yes
no,17,yes,no
no,12,no,no
no,135,yes,no
no,5024,no,no
no,1161,yes,no
no,3528,yes,no
no,791,yes,no
no,546,yes,no
no,804,yes,no
no,908,yes,no
no,6982,yes,no
no,1176,no,yes
no,0,no,no
no,528,yes,no
no,734,yes,no
no,109,yes,no
no,4746,yes,no
no,11512,yes,no
no,0,yes,no
no,115,no,no
no,808,no,no
no,-289,yes,no
no,35368,yes,no
no,189,no,no
no,0,yes,no
no,1110,yes,no
no,102,yes,no
no,56,yes,no
no,405,yes,no
no,873,yes,no
no,656,no,no
no,2490,yes,no
no,1437,yes,no
no,6659,yes,no
no,1126,yes,no
no,3773,yes,no
no,1129,yes,no
no,849,yes,yes
no,675,yes,no
no,98,yes,no
no,1914,yes,no
no,1270,yes,no
no,-98,yes,no
no,256,yes,no
no,435,yes,no
no,7005,yes,no
no,471,yes,no
no,467,yes,no
no,323,yes,no
no,0,yes,no
no,1343,yes,yes
no,44,no,no
no,453,yes,no
no,350,yes,no
no,2693,yes,no
no,1243,yes,no
no,883,yes,no
no,599,yes,no
no,3176,yes,no
no,49,no,no
no,3202,yes,no
no,2660,yes,no
no,41,yes,yes
no,-557,yes,yes
no,741,no,no
no,930,yes,no
no,9,yes,no
no,1624,yes,yes
yes,239,yes,no
no,626,yes,no
no,-268,yes,no
no,178,yes,no
no,1671,no,no
no,-300,no,no
no,1362,yes,no
no,2287,yes,no
no,141,yes,no
no,4315,yes,no
no,-70,yes,yes
no,1630,yes,no
no,569,yes,no
no,0,yes,no
no,546,yes,no
no,287,yes,no
yes,-954,yes,no
no,280,yes,no
no,1408,no,no
no,1211,yes,no
no,1600,yes,no
no,774,yes,no
no,188,yes,no
no,1157,yes,no
no,1066,yes,no
no,932,yes,no
no,557,yes,no
no,1260,no,yes
no,1045,yes,no
no,350,yes,no
no,-136,yes,no
no,405,yes,no
no,373,yes,no
no,0,yes,no
no,2228,yes,no
no,58,yes,no
no,932,yes,no
no,-872,yes,yes
no,1450,yes,yes
no,2032,yes,no
no,0,yes,no
no,1380,yes,no
no,5729,yes,no
no,951,yes,no
no,487,yes,no
no,957,yes,no
no,855,yes,no
no,502,yes,no
no,204,yes,no
no,2262,yes,no
no,8784,yes,no
no,599,yes,no
no,525,yes,yes
no,688,yes,no
no,1350,yes,no
no,1830,yes,no
no,1887,no,yes
no,13156,yes,no
no,622,yes,no
no,1336,no,no
no,1067,yes,no
no,12961,yes,no
no,141,yes,no
no,1216,yes,no
no,891,yes,no
no,131,yes,no
no,5,no,no
no,289,yes,no
no,15341,no,no
no,901,yes,no
no,4465,yes,no
no,1191,yes,no
no,458,yes,no
no,1869,yes,no
no,2084,yes,no
no,1389,yes,no
no,0,yes,no
no,1303,yes,yes
no,11149,yes,no
no,-35,yes,yes
no,3242,yes,no
no,435,yes,no
no,2696,yes,no
no,0,no,no
no,218,yes,yes
no,892,yes,no
no,1410,yes,no
no,1721,yes,no
no,1583,yes,no
no,296,yes,no
no,216,yes,no
no,463,yes,no
no,547,yes,yes
no,2974,yes,no
no,-370,yes,no
no,6217,yes,yes
no,170,yes,yes
no,-559,yes,yes
no,232,yes,no
no,385,yes,no
no,5304,yes,no
no,71,yes,no
no,317,yes,no
no,728,yes,no
no,-121,yes,no
no,330,yes,no
no,825,yes,no
no,247,no,no
no,3100,yes,no
no,1301,yes,no
no,29050,yes,yes
no,1279,yes,yes
no,585,yes,no
no,63,yes,no
no,858,yes,no
no,0,no,no
no,581,yes,no
no,2034,yes,no
no,1,yes,yes
no,1146,yes,no
no,1091,yes,no
no,-177,yes,no
no,527,yes,yes
no,481,yes,no
no,5711,yes,yes
no,1755,yes,no
no,491,yes,no
no,2183,yes,yes
no,299,yes,no
no,1961,no,no
no,126,yes,no
no,967,yes,no
no,395,no,no
no,239,yes,no
no,338,yes,no
no,885,yes,no
no,564,yes,no
no,4499,no,no
no,603,yes,yes
yes,-29,yes,yes
no,-325,yes,yes
no,428,yes,no
no,0,yes,yes
no,722,yes,no
no,541,yes,yes
no,702,yes,no
no,4444,yes,no
no,42,yes,no
no,0,yes,yes
no,-148,yes,no
no,1717,yes,no
no,1156,yes,no
no,1330,yes,no
no,754,yes,no
no,7198,yes,no
no,-198,yes,no
no,264,yes,no
no,5252,yes,no
no,1289,yes,no
no,-114,yes,no
no,4665,yes,no
no,5643,yes,no
no,445,yes,no
no,2412,yes,no
no,348,yes,no
no,775,yes,no
no,-114,yes,no
no,1631,yes,no
no,313,yes,no
no,0,yes,yes
no,3468,yes,no
no,171,yes,no
no,453,yes,no
no,558,yes,yes
no,1373,yes,no
no,-100,yes,no
no,432,yes,no
no,1985,yes,no
no,223,yes,no
no,2308,yes,no
no,4752,yes,no
no,1933,yes,no
no,1402,yes,no
no,5853,yes,no
no,186,yes,no
no,1739,yes,yes
no,6704,yes,no
no,1176,yes,no
no,-838,yes,no
no,28,yes,no
no,-165,yes,no
no,2294,yes,no
no,293,yes,no
no,609,yes,no
no,-867,yes,yes
no,-208,yes,no
no,1317,yes,no
no,335,yes,no
no,1390,yes,no
no,1818,yes,no
no,543,yes,no
no,3298,yes,no
no,1744,yes,no
no,89,yes,yes
no,-175,yes,no
no,20,yes,no
no,263,yes,no
no,392,yes,yes
no,1599,yes,no
no,644,yes,yes
no,813,yes,no
no,2271,yes,no
no,881,yes,no
no,5366,yes,no
no,924,yes,no
no,240,yes,no
no,578,yes,no
no,1317,yes,no
no,2003,yes,no
no,946,yes,no
no,0,no,no
no,920,yes,no
no,1545,yes,no
no,-427,yes,yes
no,3732,yes,no
no,8874,no,yes
no,7867,yes,no
no,1756,yes,no
no,4924,yes,no
no,4174,yes,no
no,360,yes,no
no,255,yes,yes
no,3744,yes,no
no,2205,no,no
no,510,yes,no
no,198,yes,no
no,24870,yes,no
no,43,yes,no
no,1779,yes,no
no,589,yes,yes
no,664,yes,yes
no,115,yes,no
no,352,yes,no
no,745,yes,no
no,5527,yes,no
no,629,yes,no
no,342,yes,yes
no,3326,yes,no
yes,-491,yes,yes
no,0,yes,no
no,286,yes,no
no,4170,yes,no
no,76,yes,no
no,-194,no,no
no,1499,yes,no
no,245,yes,no
no,49,yes,no
no,4733,yes,no
no,0,yes,no
no,1284,yes,no
no,779,yes,no
no,965,yes,no
no,625,yes,no
no,568,yes,no
no,913,yes,yes
no,622,yes,no
no,140,yes,no
no,-61,yes,no
no,4441,yes,no
no,1138,yes,yes
no,0,yes,yes
no,-147,yes,yes
no,159,yes,no
no,336,yes,no
no,2173,yes,no
no,1455,yes,no
no,439,yes,no
no,783,yes,no
no,-280,no,no
no,1023,yes,no
no,4369,yes,no
no,144,yes,no
no,540,no,no
no,-5,yes,no
no,906,yes,yes
no,1568,no,no
no,858,yes,no
no,3696,no,no
no,3784,no,no
no,3119,yes,no
no,1518,yes,no
no,4822,yes,no
no,0,yes,no
no,1393,yes,no
no,1023,yes,no
no,4191,no,no
no,2645,yes,no
no,0,yes,no
no,776,yes,no
no,1165,yes,no
no,412,yes,no
no,461,yes,no
no,-402,no,no
no,1813,yes,no
no,1169,yes,no
no,0,yes,no
no,511,yes,no
no,328,yes,no
no,259,yes,no
no,126,no,no
no,5902,yes,no
no,10,yes,no
no,3137,yes,no
no,2238,yes,no
no,131,yes,no
no,773,yes,no
no,399,yes,yes
no,173,no,no
no,690,yes,no
no,1601,yes,no
no,439,yes,no
no,3132,yes,no
no,-408,yes,no
no,265,yes,no
no,363,yes,no
no,8541,yes,no
no,486,yes,no
no,594,yes,yes
yes,98,no,yes
no,462,yes,no
no,372,yes,no
no,1221,yes,no
no,917,yes,no
no,0,yes,no
no,884,yes,no
no,587,yes,no
no,91,no,no
no,165,yes,no
no,456,yes,no
no,994,yes,no
no,1710,yes,no
no,1138,yes,yes
no,360,yes,no
no,2737,yes,yes
no,8564,yes,no
no,435,yes,yes
no,4243,yes,no
no,989,yes,yes
no,1186,yes,no
no,1261,yes,no
no,25,yes,no
no,206,yes,no
no,11423,yes,no
no,184,yes,no
no,1354,yes,no
no,751,yes,no
no,711,yes,no
no,453,yes,yes
no,1129,yes,no
no,237,yes,no
no,1239,yes,no
no,0,yes,no
no,392,yes,no
no,2490,yes,no
no,6714,yes,no
no,873,yes,no
no,1464,yes,no
no,90,yes,no
no,714,yes,no
no,463,yes,no
no,1516,yes,yes
no,509,yes,no
no,207,yes,no
no,3967,yes,no
no,3517,yes,no
no,435,yes,no
no,6227,yes,no
no,1092,no,no
no,394,yes,no
no,239,yes,no
yes,-509,yes,no
no,-32,yes,no
no,11315,no,no
no,1273,yes,no
no,1649,yes,no
no,84,yes,no
no,278,yes,yes
no,2459,yes,yes
no,4941,yes,no
no,3798,yes,no
no,597,yes,no
no,-32,yes,no
no,525,yes,no
no,416,yes,yes
no,680,yes,no
no,4303,yes,no
no,3050,yes,no
no,750,yes,no
no,5547,yes,no
no,643,yes,no
no,-386,yes,no
no,5889,yes,no
no,207,yes,no
no,1883,yes,no
no,697,yes,no
no,14692,yes,no
no,595,yes,no
no,1243,yes,no
no,-326,yes,yes
no,17946,yes,no
no,2144,yes,no
no,1410,yes,no
no,18347,yes,no
no,177,yes,no
no,0,yes,no
no,291,no,no
no,1880,yes,no
no,7,yes,no
no,21,yes,no
no,136,yes,no
no,9068,yes,no
no,159,yes,no
no,2557,yes,no
no,287,yes,no
no,1765,yes,no
no,571,yes,no
no,0,yes,yes
no,700,yes,no
no,0,yes,no
no,59,yes,yes
no,370,yes,no
no,0,yes,no
no,225,yes,no
no,-118,yes,yes
no,390,yes,no
no,1379,yes,no
no,1168,yes,no
no,287,no,no
no,2549,yes,no
no,79,yes,no
no,0,yes,no
no,827,yes,no
no,12,yes,no
no,973,yes,yes
no,1408,yes,no
no,2495,yes,no
no,339,yes,no
no,0,yes,no
no,520,yes,no
no,5745,yes,yes
no,222,yes,no
no,-355,yes,no
no,1804,yes,no
no,253,yes,no
no,524,yes,no
no,132,no,no
yes,-1,yes,yes
no,-401,yes,no
no,410,yes,no
no,3155,yes,no
no,247,no,no
no,16,no,no
no,823,yes,no
no,1141,yes,no
no,246,yes,no
no,-102,yes,no
no,151,no,no
no,1212,yes,no
no,397,yes,no
no,-6,no,no
no,56,yes,no
no,1156,yes,no
no,-327,yes,yes
no,1570,yes,no
no,-175,yes,yes
no,353,yes,no
no,61,yes,no
no,-1206,yes,no
no,208,yes,no
no,38,yes,no
no,-209,yes,yes
no,759,yes,no
no,-40,yes,no
no,4,yes,no
no,45,yes,yes
no,-753,yes,yes
no,820,yes,no
no,0,yes,yes
no,672,yes,no
no,-762,yes,yes
no,422,yes,no
no,51,yes,no
no,1601,yes,no
no,2278,yes,no
yes,110,yes,no
no,539,yes,yes
no,-332,yes,no
yes,0,no,no
no,468,yes,yes
no,240,yes,no
no,2,no,yes
yes,339,yes,no
no,295,yes,no
no,7252,no,no
no,1109,yes,no
no,-319,yes,no
no,5553,yes,no
no,187,yes,no
no,2080,yes,no
no,-319,yes,no
no,-221,yes,no
no,2114,no,yes
no,4009,yes,no
no,579,yes,no
no,3142,no,no
no,-205,yes,no
no,79,no,no
no,-591,yes,no
no,440,no,no
yes,-274,yes,yes
no,0,yes,yes
no,2043,yes,yes
no,282,yes,yes
no,-26,yes,yes
no,-267,no,no
no,368,yes,no
no,745,yes,no
no,383,yes,no
no,239,yes,no
no,382,yes,no
no,2679,yes,yes
no,3,yes,no
no,4746,yes,no
no,30,no,no
no,-455,yes,no
no,0,yes,no
no,-78,yes,yes
no,302,yes,yes
no,-299,yes,no
no,1611,yes,no
no,498,yes,no
no,0,no,no
no,454,yes,yes
no,0,yes,no
no,30,no,no
no,511,yes,yes
no,127,yes,no
no,1940,yes,no
no,-108,yes,no
no,242,yes,no
no,1012,yes,no
no,-393,yes,yes
no,430,yes,no
no,-825,yes,no
no,135,yes,no
no,369,yes,no
no,1522,yes,no
no,523,yes,no
no,104,yes,no
no,341,yes,no
no,3767,yes,no
no,1667,yes,no
no,430,yes,no
no,603,yes,no
no,0,no,no
no,510,yes,no
no,0,yes,no
no,17455,yes,yes
no,176,yes,no
no,139,yes,no
no,3625,yes,no
no,1651,yes,no
no,74,yes,no
no,-311,yes,no
no,-413,yes,no
no,1202,yes,no
no,321,yes,no
no,221,yes,no
no,1996,yes,no
no,1222,yes,no
yes,150,yes,yes
no,701,yes,no
no,0,yes,yes
no,-375,yes,no
no,6374,yes,no
no,387,yes,no
no,149,yes,no
no,630,yes,no
no,150,yes,no
no,1358,yes,yes
no,614,yes,no
no,-212,yes,yes
no,590,yes,no
no,8,yes,no
no,687,yes,yes
no,61,yes,yes
no,-210,yes,yes
no,1541,yes,no
no,1342,yes,no
no,4,yes,no
no,501,yes,no
no,128,yes,no
no,1464,yes,no
no,6,yes,no
yes,-369,yes,no
no,1375,yes,no
no,0,no,no
no,4053,yes,no
no,-286,yes,no
no,253,yes,no
no,157,yes,no
no,1951,yes,no
no,4519,yes,no
no,1134,yes,no
no,426,yes,no
no,-495,yes,yes
no,1049,yes,no
no,463,yes,no
no,3546,yes,no
no,1,yes,yes
no,-239,yes,no
no,1340,yes,no
no,772,yes,no
no,-630,no,no
no,507,yes,yes
no,736,yes,no
no,395,yes,yes
no,-46,no,no
no,2599,yes,no
no,-461,no,no
no,0,no,no
no,3643,yes,no
no,0,yes,no
no,-141,yes,yes
no,526,yes,yes
no,23,yes,no
no,839,yes,no
no,-1455,yes,no
yes,-306,yes,no
no,655,yes,no
no,3465,yes,no
no,876,yes,no
no,154,yes,no
no,67,yes,yes
no,5205,yes,no
no,5773,no,no
no,0,yes,yes
no,1694,yes,yes
no,1074,yes,no
no,278,yes,no
no,1102,yes,no
no,0,yes,no
no,0,yes,no
no,-346,yes,yes
no,415,no,no
no,851,no,yes
no,1247,yes,no
no,91,yes,no
no,882,no,no
no,165,yes,no
no,1501,yes,no
no,1529,no,no
no,293,yes,no
no,1572,yes,yes
no,-679,yes,no
no,497,yes,no
no,-303,yes,no
no,9194,yes,no
no,97,yes,no
no,70,yes,yes
no,1839,no,no
no,1492,yes,no
no,357,yes,no
no,192,yes,no
no,875,yes,yes
no,0,yes,no
no,-288,no,no
no,1581,no,no
no,2910,yes,no
no,372,no,no
no,9,yes,no
no,1780,yes,no
no,2665,yes,no
no,188,yes,no
no,506,yes,no
no,38,yes,no
no,-331,yes,no
no,31,yes,no
no,-21,yes,yes
no,1847,yes,no
no,208,yes,no
no,5,yes,no
no,-848,yes,no
no,317,yes,no
no,5779,yes,no
no,489,yes,no
yes,4,yes,no
no,631,yes,no
no,0,yes,no
no,3,no,yes
no,2197,yes,no
no,178,yes,no
no,358,yes,no
no,3144,yes,no
no,309,yes,no
no,391,yes,yes
no,1903,yes,no
no,1605,yes,no
no,141,yes,no
no,-205,yes,no
no,2150,yes,no
no,111,yes,no
no,57,yes,yes
no,876,yes,no
yes,2,no,no
no,-357,yes,no
no,13849,yes,no
no,0,no,no
no,5517,yes,no
no,5505,yes,no
no,4707,yes,no
no,523,yes,no
yes,-516,yes,no
no,1878,yes,yes
no,253,yes,no
no,471,no,no
no,-315,yes,no
no,240,yes,no
no,1098,yes,no
no,-211,yes,no
no,9874,yes,no
no,1008,yes,no
no,165,yes,no
no,3622,yes,yes
no,92,yes,no
no,7598,yes,no
no,0,yes,no
no,-143,yes,no
no,540,yes,yes
no,1495,yes,yes
no,0,yes,no
no,3316,yes,no
no,3,yes,no
no,387,yes,no
no,33,no,no
no,152,yes,no
no,41,yes,yes
no,1718,yes,no
no,-287,yes,no
no,2317,yes,no
no,71,yes,no
no,283,yes,no
no,-627,yes,no
no,-216,yes,no
no,-347,yes,no
no,199,yes,yes
no,31,yes,yes
no,0,yes,no
no,674,yes,no
no,-796,yes,yes
no,470,yes,yes
no,4063,yes,yes
no,-372,yes,no
no,1156,yes,no
yes,-886,yes,no
no,-245,no,yes
no,157,yes,no
no,510,yes,no
no,-426,no,yes
no,-436,yes,no
no,320,yes,no
no,0,no,yes
no,541,yes,no
no,1337,no,no
no,-280,yes,no
no,247,yes,no
no,-1379,yes,yes
no,383,yes,yes
no,-85,yes,yes
no,0,yes,no
no,683,yes,yes
no,295,yes,yes
no,978,yes,yes
no,105,yes,no
no,503,yes,no
no,-8,yes,no
no,-396,yes,no
no,-454,yes,no
no,-380,yes,no
no,1098,yes,no
no,155,yes,no
no,-54,yes,yes
no,238,yes,no
no,106,yes,no
no,0,yes,no
no,3888,no,no
no,-138,yes,no
no,1728,yes,no
no,1651,yes,no
no,0,yes,no
no,463,no,no
no,-361,yes,no
no,-27,yes,no
no,0,no,no
no,0,yes,no
no,-239,yes,no
no,1182,yes,no
no,0,yes,no
no,1262,yes,no
no,435,yes,no
no,149,yes,no
no,241,yes,no
no,879,yes,no
no,-171,yes,no
no,241,yes,yes
no,103,yes,no
no,1925,yes,no
no,-212,yes,yes
no,-587,yes,no
no,259,yes,no
no,19,yes,yes
no,86,yes,no
no,214,yes,yes
no,895,yes,no
no,145,yes,no
no,-1701,yes,no
no,193,yes,no
no,-255,yes,no
no,19343,yes,no
no,0,yes,no
no,0,no,no
no,137,no,yes
no,-170,yes,yes
no,-342,yes,no
no,-673,yes,no
no,193,yes,yes
no,655,yes,no
no,25,yes,yes
no,305,yes,yes
no,125,yes,no
no,591,yes,no
no,537,no,no
no,-68,yes,yes
no,-197,yes,no
no,-538,yes,no
no,-213,yes,no
no,340,yes,yes
no,-694,yes,no
no,160,yes,no
no,3284,yes,no
no,191,yes,no
no,1252,yes,no
no,669,yes,no
no,2064,yes,no
no,-53,yes,no
no,-754,yes,yes
no,89,yes,no
no,153,yes,yes
no,788,yes,no
no,947,yes,no
no,358,no,no
no,1395,yes,no
no,-563,yes,no
no,97,yes,yes
yes,-651,yes,yes
no,101,yes,yes
no,494,yes,no
no,902,no,no
no,527,yes,no
no,322,yes,no
no,-606,yes,no
no,747,yes,no
